time_s,received_power_w,harvested_power_w,v_cap,boost_state,capacitor_energy_j,net_capacitor_power_w,received_power_ap_w,received_power_mobile_w
46.481,0.00015611822989615708,7.025320345327069e-05,0.6765378042741456,0,0.00022885170030604102,7.005320345327068e-05,0.00015511822989615708,0.0
46.482,1e-06,4.5e-07,0.6766413429720273,0,0.0002289217535094943,2.5e-07,0.0,0.0
46.483000000000004,1e-06,4.5e-07,0.6766417124438816,0,0.0002289220035094943,2.5e-07,0.0,0.0
46.484,1e-06,4.5e-07,0.6766420819155343,0,0.0002289222535094943,2.5e-07,0.0,0.0
46.485,1e-06,4.5e-07,0.6766424513869852,0,0.0002289225035094943,2.5e-07,0.0,0.0
46.486000000000004,1e-06,4.5e-07,0.6766428208582344,0,0.0002289227535094943,2.5e-07,0.0,0.0
46.487,1e-06,4.5e-07,0.6766431903292818,0,0.0002289230035094943,2.5e-07,0.0,0.0
46.488,1e-06,4.5e-07,0.6766435598001274,0,0.0002289232535094943,2.5e-07,0.0,0.0
46.489000000000004,1e-06,4.5e-07,0.6766439292707713,0,0.00022892350350949432,2.5e-07,0.0,0.0
46.49,1e-06,4.5e-07,0.6766442987412136,0,0.00022892375350949432,2.5e-07,0.0,0.0
46.491,4.943611426487654e-05,2.2246251419194444e-05,0.676644668211454,0,0.00022892400350949432,2.2046251419194443e-05,0.0,4.843611426487654e-05
46.492000000000004,1e-06,4.5e-07,0.6766772491534107,0,0.00022894604976091352,2.5e-07,0.0,0.0
46.493,1e-06,4.5e-07,0.67667761860566,0,0.00022894629976091352,2.5e-07,0.0,0.0
46.494,1e-06,4.5e-07,0.6766779880577076,0,0.00022894654976091352,2.5e-07,0.0,0.0
46.495,1e-06,4.5e-07,0.6766783575095535,0,0.00022894679976091353,2.5e-07,0.0,0.0
46.496,1e-06,4.5e-07,0.6766787269611977,0,0.00022894704976091353,2.5e-07,0.0,0.0
46.497,4.943611426487654e-05,2.2246251419194444e-05,0.6766790964126401,0,0.00022894729976091354,2.2046251419194443e-05,0.0,4.843611426487654e-05
46.498,1e-06,4.5e-07,0.6767116756970175,0,0.00022896934601233273,2.5e-07,0.0,0.0
46.499,1e-06,4.5e-07,0.6767120451304716,0,0.00022896959601233273,2.5e-07,0.0,0.0
46.5,1e-06,4.5e-07,0.676712414563724,0,0.00022896984601233274,2.5e-07,0.0,0.0
46.501,1e-06,4.5e-07,0.6767127839967747,0,0.00022897009601233274,2.5e-07,0.0,0.0
46.502,1e-06,4.5e-07,0.6767131534296237,0,0.00022897034601233274,2.5e-07,0.0,0.0
46.503,1e-06,4.5e-07,0.676713522862271,0,0.00022897059601233275,2.5e-07,0.0,0.0
46.504,1e-06,4.5e-07,0.6767138922947168,0,0.00022897084601233275,2.5e-07,0.0,0.0
46.505,1e-06,4.5e-07,0.6767142617269607,0,0.00022897109601233276,2.5e-07,0.0,0.0
46.506,1e-06,4.5e-07,0.676714631159003,0,0.00022897134601233276,2.5e-07,0.0,0.0
46.507,1e-06,4.5e-07,0.6767150005908437,0,0.00022897159601233276,2.5e-07,0.0,0.0
46.508,1e-06,4.5e-07,0.6767153700224826,0,0.00022897184601233277,2.5e-07,0.0,0.0
46.509,1e-06,4.5e-07,0.6767157394539198,0,0.00022897209601233277,2.5e-07,0.0,0.0
46.51,1e-06,4.5e-07,0.6767161088851554,0,0.00022897234601233277,2.5e-07,0.0,0.0
46.511,0.00014665110625604203,6.599299781521892e-05,0.6767164783161893,0,0.00022897259601233278,6.579299781521892e-05,0.00014565110625604203,0.0
46.512,1e-06,4.5e-07,0.6768136952074005,0,0.000229038389010148,2.5e-07,0.0,0.0
46.513,1e-06,4.5e-07,0.676814064585168,0,0.000229038639010148,2.5e-07,0.0,0.0
46.514,1e-06,4.5e-07,0.676814433962734,0,0.000229038889010148,2.5e-07,0.0,0.0
